"X1","X2","X3","X4"
"","","",""
"","Ralph Fiennes","...","Lord Voldemort"
"","Michael Gambon","...","Professor Albus Dumbledore"
"","Alan Rickman","...","Professor Severus Snape"
"","Daniel Radcliffe","...","Harry Potter"
"","Rupert Grint","...","Ron Weasley"
"","Emma Watson","...","Hermione Granger"
"","Evanna Lynch","...","Luna Lovegood"
"","Domhnall Gleeson","...","Bill Weasley"
"","Clémence Poésy","...","Fleur Delacour"
"","Warwick Davis","...","Griphook /  
            Professor Filius Flitwick"
"","John Hurt","...","Ollivander"
"","Helena Bonham Carter","...","Bellatrix Lestrange"
"","Graham Duff","...","Death Eater"
"","Anthony Allgood","...","Gringotts' Guard"
"","Rusty Goffe","...","Aged Gringotts' Goblin"
"","Jon Key","...","Bogrod"
"","Kelly Macdonald","...","Helena Ravenclaw"
"","Jason Isaacs","...","Lucius Malfoy"
"","Helen McCrory","...","Narcissa Malfoy"
"","Tom Felton","...","Draco Malfoy"
"","Ian Peck","...","Hogsmeade Death Eater"
"","Benn Northover","...","Hogsmeade Death Eater 
  
  
  (as Benjamin Northover)"
"","Ciarán Hinds","...","Aberforth Dumbledore"
"","Hebe Beardsall","...","Ariana Dumbledore"
"","Matthew Lewis","...","Neville Longbottom"
"","Devon Murray","...","Seamus Finnigan"
"","Jessie Cave","...","Lavender Brown"
"","Afshan Azad","...","Padma Patil"
"","Isabella Laughland","...","Leanne"
"","Anna Shaffer","...","Romilda Vane"
"","Georgina Leonidas","...","Katie Bell"
"","Freddie Stroma","...","Cormac McLaggen"
"","Alfred Enoch","...","Dean Thomas 
  
  
  (as Alfie Enoch)"
"","Katie Leung","...","Cho Chang"
"","William Melling","...","Nigel"
"","Sian Grace Phillips","...","Screaming Girl"
"","Bonnie Wright","...","Ginny Weasley"
"","Ralph Ineson","...","Amycus Carrow"
"","Suzanne Toase","...","Alecto Carrow"
"","Maggie Smith","...","Professor Minerva McGonagall"
"","Jim Broadbent","...","Professor Horace Slughorn"
"","Scarlett Byrne","...","Pansy Parkinson"
"","Josh Herdman","...","Gregory Goyle"
"","Louis Cordice","...","Blaise Zabini"
"","Amber Evans","...","Twin Girl 1"
"","Ruby Evans","...","Twin Girl 2"
"","Miriam Margolyes","...","Professor Pomona Sprout"
"","Gemma Jones","...","Madam Pomfrey"
"","George Harris","...","Kingsley Shacklebolt"
"","David Thewlis","...","Remus Lupin"
"","Julie Walters","...","Molly Weasley"
"","Mark Williams","...","Arthur Weasley"
"","James Phelps","...","Fred Weasley"
"","Oliver Phelps","...","George Weasley"
"","Chris Rankin","...","Percy Weasley"
"","David Bradley","...","Argus Filch"
"","Guy Henry","...","Pius Thicknesse"
"","Nick Moran","...","Scabior"
"","Natalia Tena","...","Nymphadora Tonks"
"","Phil Wright","...","Giant"
"","Garry Sayer","...","Giant"
"","Tony Adkins","...","Giant"
"","Dave Legeno","...","Fenrir Greyback"
"","Penelope McGhie","...","Death Eater"
"","Emma Thompson","...","Professor Sybil Trelawney"
"","Ellie Darcey-Alden","...","Young Lily Potter"
"","Ariella Paradise","...","Young Petunia Dursley"
"","Benedict Clarke","...","Young Severus Snape"
"","Leslie Phillips","...","The Sorting Hat 
  
  
  (voice)"
"","Alfie McIlwain","...","Young James Potter"
"","Rohan Gotobed","...","Young Sirius Black"
"","Geraldine Somerville","...","Lily Potter"
"","Adrian Rawlins","...","James Potter"
"","Toby Papworth","...","Baby Harry Potter"
"","Timothy Spall","...","Wormtail"
"","Robbie Coltrane","...","Rubeus Hagrid"
"","Gary Oldman","...","Sirius Black"
"","Peter G. Reed","...","Death Eater"
"","Judith Sharp","...","Death Eater"
"","Emil Hostina","...","Death Eater"
"","Bob Yves Van Hellenberg Hubar","...","Death Eater"
"","Granville Saxton","...","Death Eater"
"","Tony Kirwood","...","Death Eater"
"","Ashley McGuire","...","Death Eater"
"","Arthur Bowen","...","Albus Severus Potter - 19 Years Later"
"","Daphne de Beistegui","...","Lily Potter - 19 Years Later"
"","Will Dunn","...","James Potter - 19 Years Later 
  
  
  (as William Dunn)"
"","Jade Gordon","...","Astoria Malfoy - 19 Years Later"
"","Bertie Gilbert","...","Scorpius Malfoy - 19 Years Later"
"","Helena Barlow","...","Rose Weasley - 19 Years Later"
"","Ryan Turner","...","Hugo Weasley - 19 Years Later"
"Rest of cast listed alphabetically:","Rest of cast listed alphabetically:","Rest of cast listed alphabetically:","Rest of cast listed alphabetically:"
"","Jon Campling","...","Death Eater in Gringotts 
  
  
  (scenes deleted)"
"","Karen Anderson","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Michael Aston","...","Wizard Parent 
  
  
  (uncredited)"
"","Michael Henbury Ballan","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Lauren Barrand","...","Gringotts Goblin 
  
  
  (uncredited)"
"","David Barron","...","Wizard with Dog in Painting 
  
  
  (uncredited)"
"","Josh Bennett","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Johann Benét","...","Deatheater 
  
  
  (uncredited)"
"","Sean Biggerstaff","...","Oliver Wood 
  
  
  (uncredited)"
"","Jada Brevett","...","Hogwarts Student 
  
  
  (uncredited)"
"","Ben Champniss","...","Parent 
  
  
  (uncredited)"
"","Collet Collins","...","Snatcher 
  
  
  (uncredited)"
"","Christoph Cordell","...","Snatcher 
  
  
  (uncredited)"
"","Christian Coulson","...","Tom Marvolo Riddle 
  
  
  (archive footage) (uncredited)"
"","Gioacchino Jim Cuffaro","...","Wizard Parent 
  
  
  (uncredited)"
"","Valerie Dane","...","Wizard Parent 
  
  
  (uncredited)"
"","Paul Davies","...","Deatheater 
  
  
  (uncredited)"
"","Sarah-Jane De Crespigny","...","Wizard Parent 
  
  
  (uncredited)"
"","David Decio","...","Chief Snatcher 
  
  
  (uncredited)"
"","Ninette Finch","...","Augusta Longbottom 
  
  
  (uncredited)"
"","Grace Meurisse Francis","...","Senior Gryffindor 
  
  
  (uncredited)"
"","Sean Francis George","...","Wizard Parent 
  
  
  (uncredited)"
"","Rich Goble","...","Death Eater 
  
  
  (uncredited)"
"","Hattie Gotobed","...","Young Girl in Epilogue 
  
  
  (uncredited)"
"","Melissa Gotobed","...","Hogwart's First Year Epilogue 
  
  
  (uncredited)"
"","Natalie Harrison","...","Gryffindor Student 
  
  
  (uncredited)"
"","Ian Hart","...","Professor Quirinus Quirrell 
  
  
  (archive footage) (uncredited)"
"","Robin Harvey","...","Hogwarts Student 
  
  
  (uncredited)"
"","Stephen Hawke","...","Wedding Guest (The Weasley's) 
  
  
  (uncredited)"
"","David Heyman","...","Dining Wizard in Painting 
  
  
  (uncredited)"
"","Harper Heyman","...","Baby of Dining Wizard Family in Portrait 
  
  
  (uncredited)"
"","Matthew Hodgkin","...","Hogwarts Student 
  
  
  (uncredited)"
"","Steven Hopwood","...","One-Legged Wizard 
  
  
  (uncredited)"
"","Joe Kallis","...","Death Eater 
  
  
  (uncredited)"
"","Gemma Kayla","...","Ravenclaw Senior 
  
  
  (uncredited)"
"","Hrvoje Klecz","...","Death Eater 
  
  
  (uncredited)"
"","Maxwell Laird","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Debra Leigh-Taylor","...","Wizard Teacher 
  
  
  (uncredited)"
"","Christina Low","...","Ravenclaw Student 
  
  
  (uncredited)"
"","Sarah Lowe","...","Ministry Wizard 
  
  
  (uncredited)"
"","Jonathan Massahi","...","Hogwarts Student 
  
  
  (uncredited)"
"","Tony Montalbano","...","Passenger 
  
  
  (uncredited)"
"","Sha'ori Morris","...","Slytherin Girl 
  
  
  (uncredited)"
"","Luke Newberry","...","Teddy Lupin 
  
  
  (uncredited)"
"","Lisa Osmond","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Elisabeth Roberts","...","Death Eater 
  
  
  (uncredited)"
"","Keijo Salmela","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Mark Sealey","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Arti Shah","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Glen Stanway","...","Death Eater 
  
  
  (uncredited)"
"","Albert Tang","...","Hogwarts Teacher 
  
  
  (uncredited)"
"","Richard Trinder","...","Augustus Rookwood 
  
  
  (uncredited)"
"","Nick Turner","...","Death Eater 
  
  
  (uncredited)"
"","Aaron Virdee","...","Gryffindor Senior 
  
  
  (uncredited)"
"","John Warman","...","Railway Station Porter 
  
  
  (uncredited)"
"","Spencer Wilding","...","Knight of Hogwarts 
  
  
  (uncredited)"
"","Amy Wiles","...","Slytherin Student 
  
  
  (uncredited)"
"","Thomas Williamson","...","Hogwarts Student 
  
  
  (uncredited)"
